,PMIDs
535,19007842
536,19324530
537,16816222
538,1887473
539,2177041
540,12558620
541,9024895
542,17586452
543,7677218
544,15696988
545,12243707
546,16780497
547,10487452
548,7591417
549,12856053
550,1909469
551,15237267
552,15701249
553,7872446
554,15649196
555,16961529
556,17376205
557,16863518
558,17178983
559,8561269
560,15757817
561,10487453
562,17466071
563,8678570
564,15090013
565,15485530
566,1567264
567,1663089
568,15791515
569,17175700
570,12207774
571,9499605
572,11907288
573,9071622
574,12745852
575,12121563
576,9579209
577,3035003
578,7767393
579,15712083
580,11579263
581,12870120
582,11734634
583,12003177
584,14657757
585,12545079
586,15714420
587,15213562
588,15630469
589,15356824
590,11413308
591,11687611
592,15622314
593,15090796
594,12198622
595,10770542
596,11416734
597,10449278
598,14624368
599,14614678
600,11919491
601,15650419
602,10997397
603,12370434
604,14523294
605,11416735
606,12478068
607,12461417
608,15649305
609,12767960
610,12239291
611,11976989
612,16850671
613,8392274
614,7705531
615,16165135
616,20149045
617,2226910
618,16183813
619,3139856
620,8040780
621,5781798
622,6961737
623,7713046
624,2066840
625,3712165
626,7767
627,11869921
628,6580858
629,3933645
630,3915841
631,12095806
632,14066040
633,2301521
634,15515199
635,9849757
636,9550207
637,11574936
638,10024253
639,11893948
640,17034605
641,16052276
642,8619207
643,9841760
644,9462386
645,20415574
646,619076
647,12517044
648,12517044
649,7357492
650,14752792
651,16143516
652,16007602
653,11369567
654,291662
655,9536833
656,995506
657,2529659
658,2009067
659,8198723
660,10490109
661,11207693
662,1448534
663,8113473
664,16837136
665,8905040
666,11493295
667,11442615
668,7591421
669,16711171
670,9810992
671,2657424
672,1739446
673,4949207
674,1913367
675,7964712
676,5039326
677,9347598
678,1623444
679,1097221
680,819223
681,800384
682,809232
683,3512535
684,6370967
685,4589978
686,6388362
687,4629112
688,4631378
689,1107360
690,819222
691,4989690
692,812671
693,238810
694,1092725
695,318984
696,3711026
697,4217251
698,361345
699,806422
700,335787
701,17310820
702,18580610
703,15825071
704,20308718
705,16509867
706,17370331
707,15745109
708,15239087
709,10197489
710,12198700
711,21502675
712,10099140
713,14997127
714,16148558
715,19610055
716,14305376
717,18663117
718,16984453
719,1785031
720,9228227
721,2263919
722,2885650
723,15764050
724,1884732
725,321177
726,321177
727,2050168
728,3515927
729,343968
730,3595071
731,7214791
732,7214791
733,6690170
734,350473
735,3540876
736,8066108
737,6805497
738,2196496
739,17466301
740,8645639
741,7688253
742,2900977
743,6145038
744,10609721
745,1974940
746,16411994
747,8355740
748,16286437
749,17148938
750,11156753
751,18450876
752,11930093
