,PMIDs
16500,17331928
16501,18675750
16502,18840118
16503,19453318
16504,9322469
16505,18433678
16506,14570678
16507,16987361
16508,18420875
16509,16485612
16510,15487477
16511,8595286
16512,17567417
16513,9277060
16514,8596222
16515,7473439
16516,11377642
16517,8709734
16518,16084255
16519,1929610
16520,12510037
16521,10147952
16522,11904653
16523,2243411
16524,3191758
16525,9339929
16526,16714768
16527,9510275
16528,2505641
16529,2279574
16530,14645314
16531,16002025
16532,478698
16533,6847332
16534,735908
16535,17613946
16536,10768702
16537,3316063
16538,21159452
16539,16110222
16540,15501375
16541,19101098
16542,9170765
16543,6342563
16544,15050083
16545,15796645
16546,18085914
16547,16870915
16548,18489017
16549,7653685
16550,9513627
16551,1460154
16552,19653788
16553,18164145
16554,16461864
16555,19705680
16556,12757969
16557,15482042
16558,18068905
16559,17241493
16560,17574801
16561,1942470
16562,8777677
16563,10753245
16564,10606371
16565,12874393
16566,1944902
16567,1770157
16568,16282841
16569,9315984
16570,16190799
16571,817862
16572,3513634
16573,8919710
16574,12700713
16575,4587507
16576,11549407
16577,18232724
16578,15727506
16579,5101285
16580,10784478
16581,9171045
16582,8229622
16583,9650873
16584,11908370
16585,1507038
16586,11806476
16587,10530095
16588,8884648
16589,12146537
16590,11699736
16591,9238885
16592,11908374
16593,9049794
16594,10048641
16595,7608846
16596,8144734
16597,11999936
16598,1930697
16599,8144738
16600,2768537
16601,1061599
16602,11830911
16603,12887341
16604,8841896
16605,9793284
16606,9238880
16607,14125027
16608,14326700
16609,8941832
16610,11686812
16611,9487840
16612,5217396
16613,8267871
16614,7699607
16615,2778601
16616,10881251
16617,11965273
16618,10881250
16619,15990426
16620,11606667
16621,6405641
16622,17244293
16623,3106452
16624,8885860
16625,17690310
16626,19269254
16627,17690311
16628,2039615
16629,2039615
16630,3551621
16631,9431627
16632,12915782
16633,12762074
16634,12221346
16635,17268258
16636,10803797
16637,11009193
16638,9595981
16639,9799882
16640,11815895
16641,16556618
16642,14711717
16643,12617708
16644,21060040
16645,11197445
16646,18067963
16647,11265827
16648,12016180
16649,12090970
16650,17118950
16651,11330851
16652,11008086
16653,17077230
16654,9083598
16655,16774462
16656,15117710
16657,15249566
16658,15276393
16659,12392217
16660,9158975
16661,17463382
16662,16439928
16663,16182145
16664,16894074
16665,16682420
16666,12718812
16667,12287798
16668,2323402
16669,3792524
16670,10510075
16671,11177066
16672,15661598
16673,15632336
16674,2289544
16675,15279915
16676,9179578
16677,15581523
16678,12065268
16679,20683766
16680,16920077
16681,20116841
16682,17077229
16683,3881294
16684,1458074
16685,12480356
16686,6839757
16687,15567882
16688,9275422
16689,9708750
16690,10073511
16691,12066946
16692,12456607
16693,12413624
16694,1522839
16695,8473453
16696,20308833
16697,20851232
16698,12798518
16699,12413615
16700,20329690
16701,8331682
16702,10874062
16703,12621132
16704,12621133
16705,7698575
16706,11932472
16707,1650315
16708,12891533
16709,14530224
16710,11439734
16711,11252687
16712,11115219
16713,12398962
16714,17039120
16715,14613272
16716,11754710
16717,11115219
16718,14506910
16719,11304662
16720,11405384
16721,10817549
16722,10555907
16723,10500058
16724,12051399
16725,14624289
16726,15086644
16727,18197095
16728,21415812
16729,19506919
16730,16025024
16731,18456064
16732,17495770
16733,21596740
16734,20064514
16735,2896139
16736,19375519
16737,1349676
16738,6134565
16739,20049949
16740,21138455
16741,19920971
16742,22565161
16743,2903110
16744,11860403
16745,2908755
16746,18272546
16747,7851193
16748,7614099
16749,1420754
16750,20937044
16751,9882028
16752,7959238
16753,2868964
16754,1358234
16755,7872274
16756,8533995
16757,15854173
16758,1347280
16759,11709512
16760,8680900
16761,2898422
16762,8404404
16763,8583101
16764,10102971
16765,19678813
16766,15017487
16767,1348159
16768,2577483
16769,9074574
16770,15313740
16771,11570939
16772,11054217
16773,11242179
16774,10232312
16775,10232311
16776,3257532
16777,16670650
16778,9809262
16779,17700083
16780,20494434
16781,15482502
16782,21949005
16783,12541005
16784,19708471
16785,10934569
16786,21690083
16787,22825926
16788,20020319
16789,20145986
16790,21418212
16791,17721622
16792,14268039
16793,16536100
16794,19341577
16795,8152983
16796,16352882
16797,18086027
16798,22353457
16799,20848004
16800,8746143
16801,11515644
16802,16304443
16803,19055885
16804,17091660
16805,8529341
16806,7608367
16807,15587100
16808,278700
16809,374449
16810,3133616
16811,9511837
16812,22736448
16813,22300651
16814,277401
16815,9161190
16816,11491626
16817,15195724
16818,15719917
16819,6213312
16820,21698991
16821,372286
16822,278624
16823,7774173
16824,1069846
16825,8783533
16826,17259189
16827,23195074
16828,12230594
16829,3929876
16830,11276182
16831,10960936
16832,9239626
16833,3377664
16834,9442992
16835,12479619
16836,3301905
16837,1191165
16838,7326271
16839,6215496
16840,6890074
16841,10736983
16842,19078655
16843,3911140
16844,5967373
16845,6283422
16846,2271367
16847,6366276
16848,489262
16849,9430812
16850,1424428
16851,1425887
16852,15250433
16853,12707430
16854,11027910
16855,11275394
16856,3431880
16857,9820261
16858,12195763
16859,11888224
16860,3302841
16861,11014390
16862,6987418
16863,10425979
16864,12468808
16865,3412591
16866,9204652
16867,11973011
16868,1560801
16869,1560801
16870,9855523
16871,11838624
16872,9781549
16873,8987189
16874,304576
16875,1738571
16876,2574958
16877,2465530
16878,8740607
16879,15979021
16880,9190323
16881,10493324
16882,3323130
16883,15157037
16884,6419955
16885,15288411
16886,10150323
16887,2792168
16888,11706096
16889,2147235
16890,6757842
16891,2239134
16892,12370455
16893,14970960
16894,2178851
16895,10848721
16896,6126361
16897,1861872
16898,10026684
16899,16195074
16900,12657073
16901,9624068
16902,9515999
16903,6348577
16904,10657410
16905,11523669
16906,11152924
16907,15863540
16908,20207251
16909,21627422
16910,10351929
16911,10390316
16912,6365350
16913,1572248
16914,11721720
16915,3791601
16916,8203335
16917,3816835
16918,3287881
16919,1442478
16920,4162366
16921,7661937
16922,2873379
16923,6383655
16924,2178930
16925,81925
16926,16271643
16927,12195686
16928,3882269
16929,8449203
16930,9741502
16931,3920891
16932,6404289
16933,2358004
16934,6148617
16935,7040956
16936,2863148
16937,1449918
16938,6409446
16939,3154688
16940,7040955
16941,12422138
16942,6416707
16943,1760833
16944,1671346
16945,1825097
16946,8175218
16947,11157183
16948,9057069
16949,3792347
16950,3896811
16951,6432869
16952,2115819
16953,1495520
16954,10832809
16955,10516867
16956,6358896
16957,2683557
16958,639229
16959,7026997
16960,8335810
16961,7426142
16962,6851037
16963,3275894
16964,7049656
16965,7912393
16966,6780232
16967,7572651
16968,16819595
16969,6848154
16970,9516764
16971,2470768
16972,6555992
16973,2738549
16974,17942268
16975,10232210
16976,18398664
16977,18945572
16978,18676516
16979,19733100
16980,10315165
16981,18652000
16982,17284502
16983,1685595
16984,14507797
16985,8564589
16986,12071899
16987,11820354
16988,20385634
16989,21043788
16990,11264907
16991,11059502
16992,16884341
16993,16238507
16994,2425334
16995,11115031
16996,9272896
16997,10414011
16998,17822765
16999,896359
17000,11861228
17001,14679271
17002,10414014
17003,8518642
17004,21429975
17005,17068074
17006,12657988
17007,16908498
17008,2188023
17009,14679271
17010,14622893
17011,15110063
17012,2585229
17013,8234958
17014,19875173
17015,1478809
17016,3831339
17017,3886068
17018,7065351
17019,8261970
17020,6614773
17021,3058407
17022,378011
17023,1505264
17024,6678543
17025,7006427
17026,6493559
17027,3551645
17028,6986837
17029,6721407
17030,7048589
17031,1302384
17032,2258223
17033,2405730
17034,3675403
17035,7081917
17036,1479562
17037,776322
17038,2042093
17039,2197836
17040,1755249
17041,12907008
17042,15794968
17043,10749457
17044,12352800
17045,19483514
17046,14523142
17047,11172176
17048,15844075
17049,14557958
17050,16940833
17051,18420662
17052,14707887
17053,20923485
17054,21342243
17055,7888692
17056,17591623
17057,15808142
17058,18494813
17059,12401734
17060,2630378
17061,2170088
17062,20739728
17063,9723147
17064,16648320
17065,8526243
17066,19230909
17067,18484551
17068,17327956
17069,434024
17070,7729737
17071,3552457
17072,3552455
17073,12175719
17074,6529546
17075,12468168
17076,11264625
17077,6397856
17078,10479834
17079,8969391
17080,11575407
17081,6711845
17082,7577284
17083,2006722
17084,8487520
17085,7786691
17086,3092972
17087,1930849
17088,9719052
17089,8017327
17090,1418829
17091,11807965
17092,7913949
17093,2663263
17094,2181860
17095,2594037
17096,9808550
17097,2934438
17098,11208829
17099,6175137
17100,11369904
17101,18945306
17102,3579357
17103,15115499
17104,20889234
17105,11346336
17106,15204164
17107,2511939
17108,8815995
17109,17650736
17110,16634339
17111,11043871
17112,1604262
17113,16703253
17114,7706955
17115,9460148
17116,16103847
17117,16816758
17118,2312568
17119,15107368
17120,3081211
17121,12016348
17122,10888946
17123,8441139
17124,17276548
17125,7966077
17126,21290830
17127,19276620
17128,15733717
17129,19276620
17130,15733716
17131,16544087
17132,20176418
17133,20138037
17134,20667840
17135,21441148
17136,19229451
17137,18782484
17138,10921166
17139,16361020
17140,19276620
17141,16361020
17142,16364933
17143,16708735
17144,15733717
17145,18946003
17146,8555849
17147,18771521
17148,2963205
17149,9693354
17150,6268783
17151,4938602
17152,208034
17153,10775738
17154,363136
17155,11907946
17156,6415364
17157,10960627
17158,10960627
17159,7589641
17160,6750325
17161,172181
17162,6253303
17163,7599662
17164,8905602
17165,7569150
17166,16503464
17167,21214940
17168,21304925
17169,19098989
17170,21159081
17171,21304923
17172,18611271
17173,9715288
17174,16129742
17175,2190935
17176,15292792
17177,8083270
17178,8496218
17179,8154278
17180,15544079
17181,7744475
17182,6988336
17183,9457092
17184,9635947
17185,22611116
17186,16454975
17187,2657423
17188,9722255
17189,8323356
17190,7752005
17191,7700763
17192,9545359
17193,3287734
17194,8191414
17195,8628460
17196,8967757
17197,15929052
17198,10362181
17199,19723121
17200,8164015
17201,10692717
17202,11284462
17203,11318886
17204,11135021
17205,14551015
17206,16583726
17207,15922814
17208,10972633
17209,16178945
17210,11286039
17211,11427330
17212,1313746
17213,11405809
17214,12603639
17215,14531480
17216,10759911
17217,16109110
17218,10817444
17219,12890127
17220,8912486
17221,16109111
17222,7644082
17223,1317294
17224,12391349
17225,15196296
17226,17379050
17227,15240983
17228,15482357
17229,17627707
17230,15038944
17231,17164991
17232,12133045
17233,17405970
17234,10636142
17235,1646290
17236,9563211
17237,7601299
17238,16870078
17239,10669900
17240,10376168
17241,11328332
17242,9563208
17243,1653137
17244,11284463
17245,1653139
17246,7564725
17247,7644079
17248,12005271
17249,12432317
17250,6116084
17251,7305427
17252,3973786
17253,3907504
17254,17156694
17255,378504
17256,7381637
17257,3125773
17258,8660037
17259,2509264
17260,1260273
17261,19736332
17262,8510706
17263,7322717
17264,840556
17265,7776115
17266,2242106
17267,8282390
17268,6770760
17269,3531001
17270,5445067
17271,20890683
17272,7009019
17273,3218448
17274,6818516
17275,381616
17276,6424041
17277,2239131
17278,15120684
17279,8499051
17280,9794981
17281,2202804
17282,662511
17283,10416094
17284,11837826
17285,17905960
17286,11837827
17287,10622478
17288,11372943
17289,9553537
17290,11380135
17291,15805203
17292,9524512
17293,8432572
17294,17012426
17295,2071200
17296,21593370
17297,11834991
17298,3733830
17299,1918559
17300,11026946
17301,8995042
17302,8871794
17303,7568536
17304,21442835
17305,1978481
17306,14609804
17307,18176223
17308,15699654
17309,12435645
17310,19887215
17311,11172245
17312,9848587
17313,11641706
17314,8042491
17315,16219944
17316,9934421
17317,10979525
17318,18006674
17319,11182732
17320,19223205
17321,12724682
17322,9784804
17323,17027405
17324,8947391
17325,16219939
17326,10627426
17327,17478654
17328,19962062
17329,8872929
17330,15007311
17331,11796399
17332,15128189
17333,19509414
17334,8198184
17335,10633889
17336,18503815
17337,16943859
17338,2703509
17339,18320379
17340,3801827
17341,17414601
17342,16959690
17343,15541982
17344,7633976
17345,16136287
17346,16914772
17347,15531229
17348,12056469
17349,17356139
17350,14560228
17351,1768031
17352,9725389
17353,11679600
17354,14649578
17355,10477639
17356,1462639
17357,8384050
17358,10565650
17359,6156554
17360,6613136
17361,8682467
17362,7928148
17363,12735583
17364,17085137
17365,9441569
17366,6691639
17367,2677271
17368,7420656
17369,17515459
17370,16164891
17371,6381570
17372,2764657
17373,12595407
17374,1252043
17375,988482
17376,2769192
17377,16534036
17378,19933787
17379,15336581
17380,15726857
17381,3736141
17382,6619687
17383,8563365
17384,9383135
17385,6341724
17386,9415786
17387,1996510
17388,9209205
17389,2597431
17390,1913409
17391,9635532
17392,1985140
17393,8859184
17394,101951
17395,16507032
17396,15966958
17397,9242847
17398,15966959
17399,11157431
17400,8884589
17401,12161829
17402,17688398
17403,16719029
17404,15129393
17405,1859259
17406,18283230
17407,9041904
17408,12600250
17409,16813627
17410,11850308
17411,879708
17412,19017676
17413,16213237
17414,16048421
17415,11386398
17416,17998187
17417,15315998
17418,11894727
17419,3887870
17420,7032641
17421,3170226
17422,8618295
17423,8583618
17424,10096374
17425,10604689
17426,8456052
17427,1361435
17428,2441458
17429,3882181
17430,17425549
17431,2405749
17432,6391611
17433,1418507
17434,7606610
17435,17901735
17436,16881426
17437,9848045
17438,11525858
17439,8150836
17440,3411648
17441,11164668
17442,7673302
17443,18836324
17444,14562531
17445,2243846
17446,17305788
17447,10425589
17448,9625243
17449,2381003
17450,1938398
17451,16679897
17452,3301861
17453,12383667
17454,11867823
17455,16096858
17456,17537764
17457,20442386
17458,16809416
17459,14519709
17460,19818694
17461,18701270
17462,11088092
17463,10604693
17464,14584770
17465,10450010
17466,5846044
17467,2089969
17468,2265339
17469,2230239
17470,7709947
17471,10860688
17472,17785483
17473,963410
17474,10450010
17475,8506804
17476,2187551
17477,15364311
17478,2190840
17479,8636834
17480,18703460
17481,15625713
17482,19996048
17483,20090855
17484,12348049
17485,12824793
17486,9887160
17487,19762662
17488,15249566
17489,8891716
17490,12802115
17491,18565440
17492,11728891
17493,15530594
17494,11177066
17495,18395692
17496,16740522
17497,15279915
17498,1464047
17499,1500629
17500,10992533
17501,1626795
17502,8423275
17503,7852667
17504,10992533
17505,9574880
17506,3131406
17507,6507997
17508,8757203
17509,10992533
17510,11742269
17511,7842184
17512,10565489
17513,11273108
17514,2387286
17515,9578044
17516,3197677
17517,1920391
17518,2239143
17519,1888646
17520,2201541
17521,3653052
17522,16495393
17523,16236738
17524,20113825
17525,15738535
17526,17208639
17527,19917839
17528,16236738
17529,15164191
17530,8723378
17531,9295178
17532,10617168
17533,8560135
17534,3057399
17535,3545461
17536,17274039
17537,15714292
17538,17013478
17539,18639221
17540,10391165
17541,7956585
17542,1606429
17543,3886069
17544,15747127
17545,15861940
17546,16078300
17547,17902520
17548,16322964
17549,10914438
17550,17080281
17551,18637924
17552,19288942
17553,1356467
17554,2264427
17555,12790943
17556,16105524
17557,19333052
17558,9059203
17559,2468978
17560,12969111
17561,6190466
17562,18184958
17563,10608543
17564,10890478
17565,14725484
17566,16115963
17567,16790652
17568,6184023
17569,17893629
17570,17054812
17571,18305082
17572,11273914
17573,18492315
17574,19050085
17575,10215706
17576,9512946
17577,12665995
17578,11132743
17579,18540460
17580,8961992
17581,10553822
17582,12707149
17583,16108036
17584,7687142
17585,12826840
17586,17380548
17587,11331169
17588,11289347
17589,9503219
17590,10849265
17591,3416393
17592,2691317
17593,10592853
17594,1761665
17595,1761665
17596,16844491
17597,8822431
17598,1761665
17599,1761665
17600,8458457
17601,8866392
17602,1760422
17603,8299789
17604,7589657
17605,15654136
17606,9895397
17607,2245833
17608,10615885
17609,8458457
17610,1793238
17611,1780722
17612,2666120
17613,16140593
17614,18401024
17615,10371538
17616,1957968
17617,11407953
17618,10210023
17619,9400037
17620,1920391
17621,8347179
17622,9596201
17623,10369553
17624,1351600
17625,1536784
17626,10325913
17627,8155929
17628,8640047
17629,11488316
17630,9894371
17631,10821721
17632,10926339
17633,7822661
17634,8630596
17635,8627205
17636,10983616
17637,1978947
17638,11739137
17639,10390389
17640,9864004
17641,12475833
17642,8323451
17643,10678614
17644,9564798
17645,9655717
17646,11897984
17647,9576141
17648,8707781
17649,8155220
17650,10076134
17651,9236642
17652,16551312
17653,9647268
17654,10752919
17655,9589818
17656,8575574
17657,9500751
17658,1357554
17659,9003206
17660,10856143
17661,11368732
17662,10084469
17663,10338904
17664,15641629
17665,9789513
17666,16490581
17667,9690573
17668,10492259
17669,9860069
17670,16344515
17671,3513150
17672,8040418
17673,9620490
17674,12785025
17675,17626987
17676,16490980
17677,2462473
17678,2669345
17679,387047
17680,2547245
17681,3542001
17682,3528240
17683,6344906
17684,3926169
17685,2466712
17686,12011525
17687,6167979
17688,3555956
17689,7743760
17690,3527523
17691,6124760
17692,6086002
17693,6416510
17694,8415211
17695,1351127
17696,1442986
17697,3073903
17698,1658875
17699,9881239
17700,6390124
17701,3512394
17702,6363896
17703,2677227
17704,3052740
17705,2974775
17706,6765526
17707,6408438
17708,8443479
17709,3530226
17710,7569360
17711,3519402
17712,6383927
17713,6416511
17714,9212308
17715,3890197
17716,1649672
17717,2635094
17718,6397365
17719,2132187
17720,2956040
17721,2565999
17722,3540688
17723,1932903
17724,6343041
17725,6378538
17726,1516491
17727,10586979
17728,2675597
17729,21094553
17730,16241919
17731,1608408
17732,9434669
17733,16543297
17734,9033521
17735,10225800
17736,11795993
17737,11764221
17738,12382293
17739,16563810
17740,20878265
17741,9989566
17742,9545995
17743,8048341
17744,11041534
17745,10390399
17746,10746262
17747,10735802
17748,12370455
17749,14594148
17750,7767512
17751,9385125
17752,8948744
17753,10422923
17754,1997063
17755,10098585
17756,8067218
17757,3956558
17758,8904263
17759,7710234
17760,10593465
17761,8155435
17762,9661552
17763,1934205
17764,10389787
17765,9353508
17766,8435016
17767,10090546
17768,7763063
17769,2189367
17770,7718101
17771,5330306
17772,7669238
17773,17052823
17774,14764015
17775,8018617
17776,12738519
17777,15653210
17778,17368254
17779,15713151
17780,15291994
17781,10898185
17782,17499419
17783,15922988
17784,20499747
17785,19423098
17786,3379696
17787,10872909
17788,8971536
17789,7048776
17790,922458
17791,8822429
17792,7720911
17793,1553169
17794,8671376
17795,8671270
17796,8224258
17797,16220761
17798,7675371
17799,17899572
17800,7443111
17801,6682631
17802,12592250
17803,17671253
17804,18275573
17805,12802023
17806,6401855
17807,10600289
17808,12521783
17809,12013115
17810,15571616
17811,10587025
17812,9988787
17813,7936506
17814,3090849
17815,2649822
17816,6496044
17817,4018658
17818,12551795
17819,8438914
17820,2234708
17821,10577621
17822,1927301
17823,8157197
17824,8812512
17825,15198767
17826,3932142
17827,16304443
17828,6584265
17829,11985192
17830,11080399
17831,11967670
17832,18418653
17833,7752296
17834,14504022
17835,9313020
17836,7616334
17837,17315407
17838,11341854
17839,10716102
17840,10891632
17841,10529020
17842,2180234
17843,8432597
17844,6998594
17845,11320385
17846,2883393
17847,8165850
17848,11477965
17849,3657877
17850,6998594
17851,1976928
17852,9812477
17853,1634818
17854,2890805
17855,1681365
17856,9812477
17857,18272891
17858,2657423
17859,9722255
17860,7752005
17861,16396863
17862,7700763
17863,2235226
17864,9545359
17865,15161992
17866,1881718
17867,3880879
17868,1421877
17869,10390255
17870,2651132
17871,2685220
17872,14512180
17873,14745327
17874,9086543
17875,8554132
17876,15086197
17877,16491462
17878,8523357
17879,8478852
17880,7837158
17881,11851661
17882,15517750
17883,3980808
17884,14969023
17885,3279235
17886,2181975
17887,12854102
17888,12905544
17889,12947533
17890,15086766
17891,9510680
17892,22419941
17893,11933340
17894,1538504
17895,10778338
17896,15462694
17897,20045611
17898,9582132
17899,11417280
17900,10409957
17901,9325829
17902,12715486
17903,12753596
17904,3511944
17905,9682649
17906,19879713
17907,17210398
17908,16376207
17909,17764879
17910,18432125
17911,18494632
17912,11322842
17913,12221342
17914,10828925
17915,11295009
17916,15507794
17917,10908942
17918,11698879
17919,15131431
17920,8742212
17921,15996609
17922,2556518
17923,9761803
17924,11064530
17925,15322439
17926,2948466
17927,15967762
17928,16648741
17929,15377573
17930,2523558
17931,16365466
17932,12809196
17933,8933936
17934,7747232
17935,11528165
17936,15995024
17937,11459901
17938,8539548
17939,9014908
17940,8782169
17941,8559353
17942,1552913
17943,21745374
17944,15995024
17945,20236841
17946,15253256
17947,10092890
17948,11854728
17949,9357453
17950,14718901
17951,16627035
17952,1830104
17953,15033399
17954,6108248
17955,1977646
17956,3907354
17957,6234146
17958,8484622
17959,2543246
17960,3353893
17961,1834587
17962,9551739
17963,11153584
17964,2735560
17965,21967845
17966,18678826
17967,20410089
17968,11403808
17969,20833591
17970,18456558
17971,12797881
17972,19574255
17973,7556834
17974,1352011
17975,8630654
17976,7900517
17977,10461843
17978,2155457
17979,3318442
17980,8064733
17981,3913558
17982,17196159
17983,12711266
17984,18377127
17985,11758661
17986,16822112
17987,14667422
17988,19721120
17989,20490632
17990,14667422
17991,19967577
17992,19249015
17993,9337491
17994,19686527
17995,20152065
17996,2646253
17997,1455880
17998,1455880
17999,1496141
18000,3043582
18001,6794167
18002,12930331
18003,19120324
18004,16536811
18005,15761427
18006,15004830
18007,12631671
18008,18427022
18009,15243315
18010,16035135
18011,20578086
18012,12742204
18013,10560850
18014,14584871
18015,11966926
18016,11288794
18017,15766369
18018,17137468
18019,18018467
18020,9287060
18021,4617772
18022,10515648
18023,2563096
18024,10514159
18025,16765759
18026,15489085
18027,7907677
18028,7907677
18029,9679792
18030,16378886
18031,10834894
18032,12812689
18033,11315832
18034,8846745
18035,15089797
18036,17049662
18037,15569128
18038,9219407
18039,11815494
18040,15510531
18041,9313662
18042,7540705
18043,2423337
18044,20522533
18045,1715501
18046,7525628
18047,8120705
18048,12110034
18049,12014516
18050,10210991
18051,9186890
18052,10210991
18053,7910322
18054,12042887
18055,16393744
18056,16042640
18057,6733063
18058,6367345
18059,861482
18060,8262083
18061,6338992
18062,3672322
18063,4016545
18064,2645846
18065,6998538
18066,679555
18067,6208877
18068,2483018
18069,5117008
18070,1702235
18071,8682818
18072,788855
18073,9027779
18074,15836660
18075,15754269
18076,15843280
18077,11840368
18078,15836660
18079,12147804
18080,15524059
18081,15836660
18082,7813167
18083,17533020
18084,12046033
18085,15754269
18086,16034009
18087,11840368
18088,18000162
18089,11840368
18090,18161210
18091,15754269
18092,11918754
18093,3540871
18094,10485502
18095,17062301
18096,1106936
18097,17710005
18098,11198829
18099,8269451
18100,16223396
18101,15100590
18102,7923306
18103,16192529
18104,10091204
18105,10369728
18106,11991447
18107,1729617
18108,9026268
18109,8554248
18110,2089252
18111,10999778
18112,15465502
18113,3279769
18114,11549632
18115,14728632
18116,6346829
18117,18195202
18118,3333018
18119,2221645
18120,17243866
18121,16279289
18122,9099188
18123,15885294
18124,11918228
18125,12609940
18126,11502787
18127,14695863
18128,10841179
18129,16274368
18130,2913914
18131,9278463
18132,16283320
18133,6388277
18134,15860827
18135,11731184
18136,1331788
18137,16641143
18138,8062152
18139,16481635
18140,3035879
18141,9886454
18142,17998225
18143,12568412
18144,2740360
18145,17473911
18146,12537598
18147,10466981
18148,15186934
18149,16014845
18150,15049459
18151,11127253
18152,18624803
18153,11128820
18154,10437184
18155,11531895
18156,1594255
18157,16055451
18158,2262314
18159,17059439
18160,17955168
18161,7766965
18162,17368065
18163,16547085
18164,11889647
18165,11889659
18166,17689192
18167,19604319
18168,16570467
18169,7892015
18170,8907093
18171,12455427
18172,16495014
18173,7616460
18174,11523332
18175,10373091
18176,19837207
18177,3607094
18178,8371179
18179,20655662
18180,9202087
18181,20484548
18182,8951265
18183,16087985
18184,16960174
18185,11522564
18186,11174621
18187,15447897
18188,15321815
18189,9537309
18190,15812454
18191,12351954
18192,18525035
18193,18657709
18194,16905785
18195,10703779
18196,18525036
18197,17398310
18198,1105489
18199,1678921
18200,7539854
18201,10226868
18202,2872804
18203,2872804
18204,2669473
18205,2969740
18206,7672157
18207,9202835
18208,3067479
18209,18395716
18210,11872201
18211,6411497
18212,19447425
18213,9720838
18214,18287793
18215,8957697
18216,16600222
18217,2180213
18218,10221237
18219,12623744
18220,19428083
18221,10349300
18222,12892384
18223,17550489
18224,15292108
18225,16281510
18226,15867002
18227,10757545
18228,17982752
18229,16169400
18230,15193480
18231,12568837
18232,9698665
18233,1951545
18234,8018611
18235,18472878
18236,8238130
18237,7755069
18238,9255079
18239,11293641
18240,2677862
18241,9642605
18242,1750473
18243,9192927
18244,18031971
18245,16916335
18246,16916336
18247,16281645
18248,7009083
18249,6377994
18250,3881226
18251,3519107
18252,495034
18253,3698694
18254,3177858
18255,1678039
18256,4416262
18257,6755325
18258,12676389
18259,8248693
18260,7064013
18261,12388962
18262,9678143
18263,14550602
18264,9158305
18265,10819821
18266,7675377
18267,11209625
18268,3856387
18269,7041450
18270,7898843
18271,8951132
18272,2714503
18273,9572229
18274,15814391
18275,16234141
18276,15099778
18277,16167722
18278,9914578
18279,9662319
18280,20636243
18281,1593561
18282,7774736
18283,8559528
18284,15085496
18285,8336880
18286,19656148
18287,15925045
18288,2251632
18289,11725734
18290,18850516
18291,10862852
18292,15762966
18293,18715244
18294,7078845
18295,8694040
18296,12814527
18297,9492717
18298,11275035
18299,14586350
18300,10190667
18301,16049380
18302,8200466
18303,2406658
18304,9650373
18305,16335645
18306,12066084
18307,16246342
18308,9360182
18309,7856707
18310,453269
18311,8883753
18312,2679115
18313,9870617
18314,3082297
18315,1586185
18316,6787557
18317,114157
18318,807697
18319,812052
18320,6810764
18321,11901392
18322,18977178
18323,18541884
18324,21087403
18325,20655809
18326,20937130
18327,22067661
18328,16723614
18329,18580206
18330,3524234
18331,9215204
18332,10642968
18333,2372330
18334,19652568
18335,20023338
18336,16306834
18337,17077731
18338,11154543
18339,20535041
18340,19411450
18341,20495932
18342,798369
18343,6375840
18344,5301622
18345,5305737
18346,3909958
18347,5079408
18348,6372855
18349,5300792
18350,19668521
18351,19668521
18352,166561
18353,310269
18354,308783
18355,3703481
18356,6360110
18357,6179534
18358,6760657
18359,5495528
18360,6422914
18361,8529160
18362,2505485
18363,6200245
18364,4534190
18365,180197
18366,793437
18367,14193681
18368,6432887
18369,9220235
18370,9220235
18371,14123174
18372,14123174
18373,3922338
18374,7032303
18375,418546
18376,7000170
18377,7027178
18378,14123444
18379,6400082
18380,3332675
18381,3030650
18382,345533
18383,3309444
18384,14116418
18385,6347420
18386,345534
18387,819598
18388,4550199
18389,7043864
18390,3508764
18391,7011037
18392,14123174
18393,9194719
18394,411644
18395,14189714
18396,6760030
18397,6809036
18398,364781
18399,111704
18400,4555825
18401,14048801
18402,7000171
18403,1751456
18404,3904820
18405,3521717
18406,2669938
18407,7044411
18408,6187216
18409,6766733
18410,415912
18411,6762044
18412,8145983
18413,4892489
18414,4892489
18415,3071485
18416,629924
18417,9423499
18418,9314625
18419,9301427
18420,2064484
18421,2209318
18422,7942937
18423,11078048
18424,11140007
18425,8612437
18426,9279482
18427,6391877
18428,10919939
18429,8949977
18430,7040142
18431,3302144
18432,8112194
18433,6766990
18434,3544654
18435,12905101
18436,1968069
18437,1678203
18438,14759641
18439,2730380
18440,7501140
18441,2972270
18442,2889518
18443,19208440
18444,14702509
18445,15625351
18446,11131448
18447,16175618
18448,9059953
18449,14572578
18450,9207281
18451,9230238
18452,10212103
18453,16440533
18454,15875528
18455,15939311
18456,12735661
18457,10780760
18458,8760776
18459,8223792
18460,14694242
18461,15681495
18462,12108885
18463,12392384
18464,10390394
18465,10319057
18466,16393726
18467,12503692
18468,18266402
18469,10980457
18470,15065610
18471,10821721
18472,9338539
18473,10936117
18474,10359887
18475,12775860
18476,11140431
18477,11485708
18478,12392384
18479,10856143
18480,8627205
18481,15805993
18482,8947069
18483,15641629
18484,10856150
18485,9949318
18486,10831147
18487,10200011
18488,10936116
18489,16490581
18490,11923548
18491,10211538
18492,10211538
18493,9109702
18494,10094216
18495,8887604
18496,10856150
18497,12503706
18498,17095339
18499,9679845
18500,10094218
18501,8879892
18502,9576141
18503,9196087
18504,7582278
18505,11730179
